# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 3.420e-07 1.939e-06 1.129e-06 5.757e-07
      13 4.340e-07 6.200e-07 5.205e-07 4.449e-08
      16 5.360e-07 7.470e-07 6.436e-07 4.835e-08
      20 7.450e-07 1.034e-06 8.884e-07 6.737e-08
      25 1.056e-06 1.421e-06 1.240e-06 8.840e-08
      32 1.544e-06 2.090e-06 1.794e-06 1.277e-07
      40 2.163e-06 2.933e-06 2.501e-06 1.740e-07
      50 3.137e-06 3.937e-06 3.539e-06 1.855e-07
      63 4.767e-06 5.876e-06 5.320e-06 2.543e-07
      79 7.252e-06 9.016e-06 8.055e-06 3.984e-07
     100 1.096e-05 1.322e-05 1.206e-05 5.553e-07
     126 1.614e-05 1.950e-05 1.775e-05 7.797e-07
     158 2.396e-05 2.821e-05 2.610e-05 1.009e-06
     200 3.626e-05 4.190e-05 3.911e-05 1.311e-06
     251 5.422e-05 6.117e-05 5.792e-05 1.626e-06
     316 8.232e-05 9.131e-05 8.659e-05 2.145e-06
     398 1.249e-04 1.355e-04 1.301e-04 2.479e-06
     501 1.897e-04 2.040e-04 1.965e-04 3.453e-06
     631 2.908e-04 3.103e-04 3.001e-04 4.748e-06
     794 4.469e-04 4.744e-04 4.599e-04 6.482e-06
    1000 6.945e-04 7.315e-04 7.114e-04 8.983e-06
    1259 1.082e-03 1.177e-03 1.111e-03 1.609e-05
    1585 1.669e-03 1.780e-03 1.720e-03 2.788e-05
    1995 2.683e-03 2.869e-03 2.777e-03 4.720e-05
    2512 3.637e-03 4.574e-03 4.166e-03 3.735e-04
    3162 6.082e-03 6.389e-03 6.233e-03 7.313e-05
    3981 1.050e-02 1.088e-02 1.069e-02 9.136e-05
    5012 1.820e-02 1.899e-02 1.857e-02 1.873e-04
    6310 3.158e-02 3.285e-02 3.233e-02 3.002e-04
    7943 6.271e-02 6.509e-02 6.428e-02 4.371e-04
#------- --------- --------- --------- ---------


# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
